dataset	model	gen	pagerank_js	ci_lower	ci_upper
flights	CNRG	9	0.26658637779476657	0.26293713886956577	0.2702356167199674
flights	CNRG	10	0.2820665284274824	0.2782182020344782	0.2859148548204865
flights	CNRG	11	0.29950845195835574	0.2947802144633158	0.30423668945339566
flights	CNRG	12	0.31599961490433787	0.3110321571085781	0.3209670727000977
flights	CNRG	13	0.33385232041156115	0.32847103079541684	0.33923361002770547
flights	CNRG	14	0.35253094951394487	0.3465699245863585	0.35849197444153136
flights	CNRG	15	0.3731582675343245	0.3663292394202593	0.37998729564839007
flights	CNRG	16	0.3929953942401528	0.3863263918578202	0.3996643966224854
flights	CNRG	17	0.41378337716199204	0.40682582127156125	0.42074093305242294
flights	CNRG	18	0.43373338917528675	0.42669853700972754	0.44076824134084597
flights	CNRG	19	0.4534764733863345	0.4464817825611351	0.46047116421153406
flights	CNRG	20	0.4744683721304733	0.46715959404738	0.48177715021356665
flights	Chung-Lu	1	0.15503231346320756	0.15255408599100814	0.15751054093540687
flights	Chung-Lu	2	0.15583154216285278	0.1538648433010546	0.157798241024651
flights	Chung-Lu	3	0.1534555927196093	0.15124761639001716	0.1556635690492013
flights	Chung-Lu	4	0.15252542631644245	0.15080917387176054	0.15424167876112452
flights	Chung-Lu	5	0.14920999594924475	0.14787816912969154	0.15054182276879796
flights	Chung-Lu	6	0.14529754744603876	0.14380123490248525	0.1467938599895922
flights	Chung-Lu	7	0.1405661394460314	0.13891610357766085	0.14221617531440198
flights	Chung-Lu	8	0.134748966260568	0.13340763468954026	0.13609029783159576
flights	Chung-Lu	9	0.13150726192774187	0.12980183666675768	0.13321268718872611
flights	Chung-Lu	10	0.12583414821135114	0.12419600846943298	0.12747228795326931
flights	Chung-Lu	11	0.12549837407411374	0.12410045074952006	0.12689629739870736
flights	Chung-Lu	12	0.12447915632960678	0.123212696996354	0.1257456156628596
flights	Chung-Lu	13	0.12586042085142746	0.12457115771796921	0.1271496839848857
flights	Chung-Lu	14	0.12726415984843148	0.12587434757213642	0.12865397212472648
flights	Chung-Lu	15	0.12651379510383706	0.1254291650227342	0.1275984251849398
flights	Chung-Lu	16	0.12875861575548464	0.12741932324275515	0.13009790826821402
