dataset	model	gen	portrait_js	ci_lower	ci_upper
chess	Erdos-Renyi	10	0.5656939829835099	0.5576035437629822	0.5737844222040377
chess	Erdos-Renyi	11	0.5648517532078048	0.5562775221024505	0.5734259843131588
chess	Erdos-Renyi	12	0.567539011895241	0.5586481362369481	0.576429887553534
chess	Erdos-Renyi	13	0.56579465785826	0.5570072629125575	0.5745820528039625
chess	Erdos-Renyi	14	0.5666279954498765	0.5572498486088175	0.576006142290935
chess	Erdos-Renyi	15	0.5678692525423766	0.5578157040634307	0.5779228010213223
chess	Erdos-Renyi	16	0.5661406981501453	0.5562549374418062	0.5760264588584842
chess	Erdos-Renyi	17	0.5670585200835785	0.5567064222103547	0.577410617956802
chess	Erdos-Renyi	18	0.5650012028774973	0.5547037512321437	0.5752986545228512
chess	Erdos-Renyi	19	0.5672619505469603	0.5563278490073673	0.5781960520865534
chess	Erdos-Renyi	20	0.5661856594101092	0.555440481239434	0.5769308375807845
chess	GCN_AE	1	0.9998593647831602	0.99985925057065	0.9998594789956695
chess	GCN_AE	2	0.9975488720266507	0.996539204847268	0.9985585392060333
chess	GCN_AE	3	0.9995419483757473	0.9991482479176667	0.9999356488338279
chess	GCN_AE	4	0.9995637244096992	0.9991847125993645	0.9999427362200339
chess	GCN_AE	5	0.9996023621712778	0.9991406766084198	1.000064047734136
chess	GCN_AE	6	0.9998064480831694	0.9998064158878913	0.9998064802784475
chess	GCN_AE	7	0.9998064480831694	0.9998064158878913	0.9998064802784475
chess	GCN_AE	8	0.9998064480831694	0.9998064158878913	0.9998064802784475
chess	GCN_AE	9	0.9998064480831694	0.9998064158878913	0.9998064802784475
chess	GCN_AE	10	0.9998064480831694	0.9998064158878913	0.9998064802784475
chess	GCN_AE	11	0.9998064480831694	0.9998064158878913	0.9998064802784475
chess	GCN_AE	12	0.9998064480831694	0.9998064158878913	0.9998064802784475
chess	GCN_AE	13	0.9998064480831694	0.9998064158878913	0.9998064802784475
chess	GCN_AE	14	0.9998064480831694	0.9998064158878913	0.9998064802784475
chess	GCN_AE	15	0.9998064480831694	0.9998064158878913	0.9998064802784475
chess	GCN_AE	16	0.9998064480831694	0.9998064158878913	0.9998064802784475
chess	GCN_AE	17	0.9998064480831694	0.9998064158878913	0.9998064802784475
chess	GCN_AE	18	0.9998064480831694	0.9998064158878913	0.9998064802784475
chess	GCN_AE	19	0.9998064480831694	0.9998064158878913	0.9998064802784475
chess	GCN_AE	20	0.9998064480831694	0.9998064158878913	0.9998064802784475
chess	HRG	1	0.5907846718298216	0.5424186495070278	0.6391506941526157
chess	HRG	2	0.5785296638066383	0.5343950864622521	0.6226642411510247
chess	HRG	3	0.6530585990500696	0.6117797417466345	0.6943374563535042
chess	HRG	4	0.6884142887073221	0.6445952025928534	0.7322333748217913
chess	HRG	5	0.7438220096300472	0.7061845634812682	0.7814594557788261
chess	HRG	6	0.7964254922671574	0.7593052332729078	0.8335457512614066
chess	HRG	7	0.8003992642500412	0.7624746029305751	0.8383239255695067
chess	HRG	8	0.8476607311644041	0.8187309183333203	0.8765905439954879
chess	HRG	9	0.8639445650277985	0.840260242844951	0.8876288872106457
chess	HRG	10	0.8575928222038561	0.8313336197071005	0.8838520247006124
chess	HRG	11	0.8653490178127211	0.839312876909644	0.891385158715798
chess	HRG	12	0.8752018045576839	0.8557852448612142	0.8946183642541536
chess	HRG	13	0.875934476975443	0.8543127439763114	0.8975562099745751
chess	HRG	14	0.8756985545579535	0.8515428215351905	0.8998542875807166
chess	HRG	15	0.8752063131066727	0.8521981497056692	0.8982144765076763
chess	HRG	16	0.885088626290811	0.8686109976746573	0.9015662549069637
chess	HRG	17	0.8892426654152767	0.8741861994849822	0.9042991313455713
chess	HRG	18	0.8806752642827433	0.8598005849748446	0.9015499435906421
chess	HRG	19	0.8711322601434652	0.8476404009004598	0.89462411938647
chess	HRG	20	0.8787076907868062	0.8591093766243382	0.8983060049492738
chess	Linear_AE	1	0.9998594518622629	0.9998594518622624	0.9998594518622629
chess	Linear_AE	2	0.9996849453712789	0.9995703983968889	0.9997994923456694
chess	Linear_AE	3	0.9985841601556409	0.9977666787425103	0.9994016415687714
chess	Linear_AE	4	0.9998075698726825	0.9998074688622982	0.9998076708830672
chess	Linear_AE	5	0.9998075698726825	0.9998074688622982	0.9998076708830672
chess	Linear_AE	6	0.9998075698726825	0.9998074688622982	0.9998076708830672
chess	Linear_AE	7	0.9998075698726825	0.9998074688622982	0.9998076708830672
chess	Linear_AE	8	0.9998075698726825	0.9998074688622982	0.9998076708830672
chess	Linear_AE	9	0.9998075698726825	0.9998074688622982	0.9998076708830672
chess	Linear_AE	10	0.9998075698726825	0.9998074688622982	0.9998076708830672
chess	Linear_AE	11	0.9998075698726825	0.9998074688622982	0.9998076708830672
chess	Linear_AE	12	0.9998075698726825	0.9998074688622982	0.9998076708830672
chess	Linear_AE	13	0.9998075698726825	0.9998074688622982	0.9998076708830672
chess	Linear_AE	14	0.9998075698726825	0.9998074688622982	0.9998076708830672
chess	Linear_AE	15	0.9998075698726825	0.9998074688622982	0.9998076708830672
chess	Linear_AE	16	0.9998075698726825	0.9998074688622982	0.9998076708830672
chess	Linear_AE	17	0.9998075698726825	0.9998074688622982	0.9998076708830672
chess	Linear_AE	18	0.9998075698726825	0.9998074688622982	0.9998076708830672
chess	Linear_AE	19	0.9998075698726825	0.9998074688622982	0.9998076708830672
chess	Linear_AE	20	0.9998075698726825	0.9998074688622982	0.9998076708830672
chess	SBM	1	0.5141740158980043	0.5103804413178503	0.5179675904781584
chess	SBM	2	0.5180644685656308	0.514500281872063	0.5216286552591987
chess	SBM	3	0.518385163229335	0.5143865797220896	0.5223837467365805
