dataset	model	gen	clu	pl
clique-ring-500-4	Erdos-Renyi	6	0.0016140949929190013	6.1071088144800685
clique-ring-500-4	Erdos-Renyi	7	0.0015178654457589321	6.119050135759976
clique-ring-500-4	Erdos-Renyi	8	0.0013630042041672384	6.11199049255502
clique-ring-500-4	Erdos-Renyi	9	0.0016014375757317694	6.123404459160789
clique-ring-500-4	Erdos-Renyi	10	0.001584169950740359	6.137647024397104
clique-ring-500-4	Erdos-Renyi	11	0.0016474113001313658	6.142648742567075
clique-ring-500-4	Erdos-Renyi	12	0.0017125711794017894	6.132374100949968
clique-ring-500-4	Erdos-Renyi	13	0.0015624908954734657	6.113546294596964
clique-ring-500-4	Erdos-Renyi	14	0.0015649203212004567	6.118117543449897
clique-ring-500-4	Erdos-Renyi	15	0.0015152318179406919	6.128126021903134
clique-ring-500-4	Erdos-Renyi	16	0.0017004885519054532	6.116689014905064
clique-ring-500-4	Erdos-Renyi	17	0.0013972002349887658	6.109396498835142
clique-ring-500-4	Erdos-Renyi	18	0.0016999342628556628	6.125412705310573
clique-ring-500-4	Erdos-Renyi	19	0.0015938803178268091	6.131424797412913
clique-ring-500-4	Erdos-Renyi	20	0.0014926821207264826	6.148732784282791
clique-ring-500-4	GCN_AE	0	0.75	250.6250625312658
clique-ring-500-4	GCN_AE	1	0.5351492252069511	1.5427118259519434
clique-ring-500-4	GCN_AE	2	0.9943609662212279	1.8290996621881366
clique-ring-500-4	GCN_AE	3	0.9996938069390001	1.0195692904967661
clique-ring-500-4	GCN_AE	4	0.9999999598394383	1.0000000400393987
clique-ring-500-4	GCN_AE	5	1.0	1.0
clique-ring-500-4	GCN_AE	6	1.0	1.0
clique-ring-500-4	GCN_AE	7	1.0	1.0
clique-ring-500-4	GCN_AE	8	1.0	1.0
clique-ring-500-4	GCN_AE	9	1.0	1.0
clique-ring-500-4	GCN_AE	10	1.0	1.0
clique-ring-500-4	GCN_AE	11	1.0	1.0
clique-ring-500-4	GCN_AE	12	1.0	1.0
clique-ring-500-4	GCN_AE	13	1.0	1.0
clique-ring-500-4	GCN_AE	14	1.0	1.0
clique-ring-500-4	GCN_AE	15	1.0	1.0
clique-ring-500-4	GCN_AE	16	1.0	1.0
clique-ring-500-4	GCN_AE	17	1.0	1.0
clique-ring-500-4	GCN_AE	18	1.0	1.0
clique-ring-500-4	GCN_AE	19	1.0	1.0
clique-ring-500-4	GCN_AE	20	1.0	1.0
clique-ring-500-4	GraphRNN	0	0.75	250.6250625312658
clique-ring-500-4	GraphRNN	1	0.7651606896075775	23.721845541540066
clique-ring-500-4	GraphRNN	2	0.678329465567253	2.3246814936645275
clique-ring-500-4	GraphRNN	3	0.6346362761754903	2.133010089632512
clique-ring-500-4	GraphRNN	4	0.5701702508211826	1.6686641565610472
clique-ring-500-4	GraphRNN	5	0.5587765031246805	2.7937729446296435
clique-ring-500-4	GraphRNN	6	0.5014599986070575	1.9386954061442156
clique-ring-500-4	GraphRNN	7	0.42514697946908336	3.347803797314753
clique-ring-500-4	GraphRNN	8	0.4447404858321073	1.9367711598742254
clique-ring-500-4	GraphRNN	9	0.37061873853343535	3.5371353481948047
clique-ring-500-4	GraphRNN	10	0.36523543211174797	1.918318469398965
clique-ring-500-4	GraphRNN	11	0.28152546070676504	3.088306961367201
clique-ring-500-4	GraphRNN	12	0.354788883726199	1.6973700131286342
clique-ring-500-4	GraphRNN	13	0.23409047862312235	3.470848836479883
clique-ring-500-4	GraphRNN	14	0.2821999339771897	1.6958090588462102
clique-ring-500-4	GraphRNN	15	0.2621455787604782	2.3188262425665425
clique-ring-500-4	GraphRNN	16	0.2194103775853776	1.5770548895548893
clique-ring-500-4	GraphRNN	17	0.21705135817341695	2.5605496318126217
clique-ring-500-4	GraphRNN	18	0.21714415769415768	1.8267480297480296
clique-ring-500-4	GraphRNN	19	0.20908337104072394	2.6613304825540114
