dataset	model	gen	avg_pl	ci_lower	ci_upper
flights	Chung-Lu	5	3.523432689209541	3.520149678087277	3.5267157003318053
flights	Chung-Lu	6	3.5550647605640058	3.552732968226541	3.5573965529014715
flights	Chung-Lu	7	3.578985146891946	3.5761704835403254	3.5817998102435675
flights	Chung-Lu	8	3.606564142881122	3.603485909171999	3.609642376590248
flights	Chung-Lu	9	3.630361650687052	3.627627628461209	3.633095672912895
flights	Chung-Lu	10	3.651931746994328	3.6490448049242357	3.6548186890644203
flights	Chung-Lu	11	3.6739905394810073	3.670908093645137	3.6770729853168795
flights	Chung-Lu	12	3.6955273930766133	3.692878437763348	3.698176348389881
flights	Chung-Lu	13	3.7149198609583283	3.7117920722435915	3.718047649673065
flights	Chung-Lu	14	3.736923364382252	3.7339030404286606	3.7399436883358432
flights	Chung-Lu	15	3.757791439440595	3.754442008477916	3.761140870403274
flights	Chung-Lu	16	3.7711314481395375	3.7677353730289496	3.7745275232501236
flights	Chung-Lu	17	3.796724970879855	3.793659165927694	3.7997907758320175
flights	Chung-Lu	18	3.812065991595382	3.8085301070542315	3.8156018761365313
flights	Chung-Lu	19	3.8251453774781976	3.822212367567436	3.82807838738896
flights	Chung-Lu	20	3.8443567541666512	3.8413011222054947	3.847412386127808
flights	Erdos-Renyi	0	4.097139443251165	nan	nan
flights	Erdos-Renyi	1	3.6205489234624815	3.618041933744808	3.623055913180155
flights	Erdos-Renyi	2	3.621152791481774	3.6168168923627255	3.625488690600824
flights	Erdos-Renyi	3	3.62061188215085	3.6153646008805773	3.6258591634211235
flights	Erdos-Renyi	4	3.6213264119789064	3.615483832786924	3.6271689911708886
flights	Erdos-Renyi	5	3.6214274109722795	3.6153062567145566	3.6275485652300015
flights	Erdos-Renyi	6	3.6219429763419297	3.6146892826579142	3.6291966700259444
flights	Erdos-Renyi	7	3.622945886937109	3.615001045564198	3.6308907283100202
flights	Erdos-Renyi	8	3.6238924563356947	3.614789653460717	3.6329952592106722
flights	Erdos-Renyi	9	3.623729432478939	3.6146322861314295	3.6328265788264456
flights	Erdos-Renyi	10	3.623873672044093	3.613965553819459	3.633781790268727
flights	Erdos-Renyi	11	3.6225693098682603	3.6122357833626944	3.6329028363738263
flights	Erdos-Renyi	12	3.621798955356915	3.611371574745837	3.632226335967995
flights	Erdos-Renyi	13	3.6212563947106746	3.610950994183117	3.631561795238234
flights	Erdos-Renyi	14	3.6235099960741786	3.6124069658529976	3.6346130262953578
flights	Erdos-Renyi	15	3.6221694953976016	3.6110011380172318	3.6333378527779687
flights	Erdos-Renyi	16	3.6247329422348464	3.6120200491785006	3.6374458352911923
flights	Erdos-Renyi	17	3.626004492339194	3.6129294534679923	3.639079531210392
flights	Erdos-Renyi	18	3.625964339139643	3.6114391869701317	3.640489491309153
flights	Erdos-Renyi	19	3.625738663404203	3.611048190714005	3.6404291360944026
flights	Erdos-Renyi	20	3.6273901746300425	3.6132711153384784	3.6415092339216075
flights	GCN_AE	0	4.097139443251165	nan	nan
flights	GCN_AE	1	1.5723035803741672	1.569951168782953	1.5746559919653804
flights	GCN_AE	2	1.5981175907647651	1.552537353947305	1.6436978275822252
flights	GCN_AE	3	1.1877364213842532	1.1085447653899827	1.266928077378524
flights	GCN_AE	4	1.1270177190461965	1.0654888592693184	1.1885465788230747
flights	GCN_AE	5	1.1202174222272796	1.0587523713828735	1.1816824730716857
flights	GCN_AE	6	1.1310741905046395	1.0638291100070603	1.1983192710022188
flights	GCN_AE	7	1.142596530158414	1.069341698934522	1.215851361382306
