dataset	model	gen	pgd_rgfd	ci_lower	ci_upper
tree	BUGGE	9	1.1925056590472133e-05	1.169222876722666e-05	1.2157884413717609e-05
tree	BUGGE	10	1.2125765975172999e-05	1.1929095501604489e-05	1.2322436448741505e-05
tree	BUGGE	11	1.2401872780011302e-05	1.2185551455225765e-05	1.2618194104796835e-05
tree	BUGGE	12	1.2647683867660715e-05	1.238551401283758e-05	1.2909853722483845e-05
tree	BUGGE	13	1.2639641269549852e-05	1.2426299183221982e-05	1.2852983355877725e-05
tree	BUGGE	14	1.275268265097755e-05	1.2533524881052975e-05	1.2971840420902133e-05
tree	BUGGE	15	1.3139930787706151e-05	1.2897830023958846e-05	1.338203155145347e-05
tree	BUGGE	16	1.3060004544506566e-05	1.2827233854070483e-05	1.329277523494265e-05
tree	BUGGE	17	1.307807775620321e-05	1.2827009310183959e-05	1.3329146202222462e-05
tree	BUGGE	18	1.3152234052555508e-05	1.2903353625705729e-05	1.3401114479405301e-05
tree	BUGGE	19	1.3098088007999948e-05	1.2892446825517953e-05	1.330372919048194e-05
tree	BUGGE	20	1.3165628664721145e-05	1.2933713738482468e-05	1.3397543590959825e-05
tree	CNRG	1	5.6227549392298814e-05	4.7359381679515764e-05	6.509571710508188e-05
tree	CNRG	2	6.928249964906765e-05	5.659897370640576e-05	8.196602559172951e-05
tree	CNRG	3	9.597817875720673e-05	7.913879973403731e-05	0.00011281755778037615
tree	CNRG	4	0.00011553801792436022	9.366879132205172e-05	0.00013740724452666875
tree	CNRG	5	0.0001170478341887439	9.198351458888408e-05	0.0001421121537886037
tree	CNRG	6	0.0001164173492083191	8.94279429937511e-05	0.00014340675542288706
tree	CNRG	7	0.0001304917687565829	0.00010208631884614756	0.00015889721866701827
tree	CNRG	8	0.00014796322644430868	0.00011784725763234096	0.00017807919525627644
tree	CNRG	9	0.00016384977343141948	0.00013285439731969989	0.00019484514954313907
tree	CNRG	10	0.00016357610890337907	0.00012984082048874822	0.0001973113973180098
tree	CNRG	11	0.00017548970263357955	0.00014034460875091278	0.0002106347965162462
tree	CNRG	12	0.00017459089833713249	0.00013531095536873768	0.00021387084130552723
tree	CNRG	13	0.00018282882156738512	0.0001419232715207196	0.00022373437161405074
tree	CNRG	14	0.00018396666374863115	0.00014167292539244553	0.00022626040210481677
tree	CNRG	15	0.0001758689376266046	0.00013425207539516005	0.00021748579985804913
tree	CNRG	16	0.00018746371497758367	0.00014475196421063515	0.00023017546574453219
tree	CNRG	17	0.0001983493850433402	0.00015539895656090604	0.00024129981352577455
tree	CNRG	18	0.00020518795878050823	0.00016215792077029162	0.0002482179967907249
tree	CNRG	19	0.00021322835201392255	0.00016861806483355534	0.00025783863919429
tree	CNRG	20	0.00022031234625871936	0.0001725774595220816	0.0002680472329953571
tree	Chung-Lu	1	6.891222829716619e-06	5.824363749239885e-06	7.958081910193357e-06
tree	Chung-Lu	2	1.2960422420536712e-05	1.1506214607390728e-05	1.4414630233682707e-05
tree	Chung-Lu	3	1.8265246408874437e-05	1.640503823703296e-05	2.0125454580715912e-05
tree	Chung-Lu	4	2.42810956804148e-05	2.243279715893325e-05	2.6129394201896352e-05
tree	Chung-Lu	5	2.980435423140778e-05	2.7867299242442887e-05	3.1741409220372676e-05
tree	Chung-Lu	6	3.674810359724526e-05	3.44187015705013e-05	3.907750562398923e-05
tree	Chung-Lu	7	4.2107220282068894e-05	3.962003696682939e-05	4.45944035973084e-05
tree	Chung-Lu	8	4.7794044813272386e-05	4.48688919907478e-05	5.071919763579697e-05
tree	Chung-Lu	9	5.28246472677236e-05	4.9671728426044566e-05	5.597756610940263e-05
tree	Chung-Lu	10	5.905801510694025e-05	5.5938052514497795e-05	6.217797769938271e-05
tree	Chung-Lu	11	6.4362489159096e-05	6.117111344568599e-05	6.755386487250602e-05
tree	Chung-Lu	12	7.032374518590898e-05	6.703003605690621e-05	7.361745431491176e-05
tree	Chung-Lu	13	7.639353392940042e-05	7.284993423373771e-05	7.99371336250631e-05
tree	Chung-Lu	14	8.22989119196756e-05	7.867639612910583e-05	8.592142771024532e-05
tree	Chung-Lu	15	8.782115854719515e-05	8.403764638644205e-05	9.160467070794825e-05
tree	Chung-Lu	16	9.345349619410802e-05	8.963075054926428e-05	9.727624183895176e-05
tree	Chung-Lu	17	9.85939841410605e-05	9.458325108240296e-05	0.00010260471719971804
tree	Chung-Lu	18	0.0001043917386061557	0.00010044212237549714	0.00010834135483681428
tree	Chung-Lu	19	0.00011057204300017297	0.00010683900243265648	0.0001143050835676895
tree	Chung-Lu	20	0.00011615062910118706	0.00011233621193265996	0.00011996504626971416
tree	Erdos-Renyi	1	0.0031097960453451163	0.003057080198306659	0.0031625118923835744
tree	Erdos-Renyi	2	0.0031676663932584683	0.003116695630667429	0.003218637155849506
tree	Erdos-Renyi	3	0.00319087733056758	0.0031323901423762524	0.003249364518758908
tree	Erdos-Renyi	4	0.0031987913522556577	0.003135806996340152	0.0032617757081711642
tree	Erdos-Renyi	5	0.003172029266960695	0.003114229439936704	0.003229829093984688
tree	Erdos-Renyi	6	0.003200800001883296	0.003146860972789366	0.0032547390309772264
tree	Erdos-Renyi	7	0.0031661440108616255	0.0031075422092717827	0.0032247458124514683
tree	Erdos-Renyi	8	0.003187740181141036	0.003123742035031077	0.0032517383272509964
tree	Erdos-Renyi	9	0.003187555524080777	0.0031194157147799344	0.0032556953333816177
tree	Erdos-Renyi	10	0.003193728968544611	0.003125398285399966	0.0032620596516892545
tree	Erdos-Renyi	11	0.0031959288639376747	0.0031255334620103473	0.003266324265865001
tree	Erdos-Renyi	12	0.0031320081601922405	0.003060975124181645	0.0032030411962028376
tree	Erdos-Renyi	13	0.003178663579349701	0.0031035413135633264	0.003253785845136074
tree	Erdos-Renyi	14	0.003171279941618629	0.0030907670347631745	0.0032517928484740817
tree	Erdos-Renyi	15	0.0031709512582669547	0.0030981562104778508	0.003243746306056056
tree	Erdos-Renyi	16	0.003179430459457876	0.0031001393574641356	0.003258721561451616
tree	Erdos-Renyi	17	0.0031887326934382314	0.0031119088440324906	0.0032655565428439722
tree	Erdos-Renyi	18	0.0031785458920821825	0.0031012465996708	0.003255845184493564
