dataset	model	gen	avg_clustering	ci_lower	ci_upper
eucore	CNRG	12	0.03842262785062345	0.03752922904823989	0.03931602665300702
eucore	CNRG	13	0.035827619923327544	0.03481087251021285	0.03684436733644224
eucore	CNRG	14	0.033779033300252996	0.03289756327362026	0.034660503326885715
eucore	CNRG	15	0.03178048859926689	0.030899756671533957	0.03266122052699981
eucore	CNRG	16	0.03021944647393231	0.029422428006565412	0.03101646494129919
eucore	CNRG	17	0.028716827182663725	0.027893426073568015	0.029540228291759427
eucore	CNRG	18	0.027584766834245943	0.02679643562467433	0.028373098043817564
eucore	CNRG	19	0.02647510834191037	0.025797831334573848	0.027152385349246903
eucore	CNRG	20	0.025284509903485918	0.024657953690093052	0.025911066116878784
eucore	Chung-Lu	0	0.4070504475195381	0.40705044751953856	0.40705044751953856
eucore	Chung-Lu	1	0.12161603009941689	0.12070060200993975	0.12253145818889398
eucore	Chung-Lu	2	0.10068150270573438	0.09985396072700947	0.10150904468445923
eucore	Chung-Lu	3	0.08689952621860461	0.08615473954916361	0.0876443128880457
eucore	Chung-Lu	4	0.07695075909115849	0.07635851139068843	0.07754300679162858
eucore	Chung-Lu	5	0.06936865536677188	0.06872203805375343	0.07001527267979024
eucore	Chung-Lu	6	0.06403658457874932	0.06345280797782422	0.06462036117967442
eucore	Chung-Lu	7	0.059018205353682865	0.058381438733802256	0.05965497197356349
eucore	Chung-Lu	8	0.05486868354971022	0.054248770534271115	0.05548859656514936
eucore	Chung-Lu	9	0.05098392808365546	0.05030652070191256	0.05166133546539832
eucore	Chung-Lu	10	0.04816411758878573	0.04757648132259386	0.0487517538549776
eucore	Chung-Lu	11	0.04567710304121334	0.04521279344739275	0.04614141263503391
eucore	Chung-Lu	12	0.04348655181523246	0.042999185063250345	0.04397391856721454
eucore	Chung-Lu	13	0.04135584385262026	0.040809900717922856	0.04190178698731771
eucore	Chung-Lu	14	0.03940410713031549	0.03888193200506662	0.03992628225556437
eucore	Chung-Lu	15	0.037677304610650525	0.03713368703822148	0.03822092218307957
eucore	Chung-Lu	16	0.03604945113848	0.03550673298899319	0.03659216928796681
eucore	Chung-Lu	17	0.03492052340329069	0.0343861722918454	0.03545487451473597
eucore	Chung-Lu	18	0.033321781107027854	0.032892255352602456	0.03375130686145325
eucore	Chung-Lu	19	0.03236585731107307	0.03195257318265053	0.03277914143949562
eucore	Chung-Lu	20	0.030558990869054958	0.03006675796149977	0.03105122377661013
eucore	Erdos-Renyi	0	0.4070504475195381	0.40705044751953856	0.40705044751953856
eucore	Erdos-Renyi	1	0.03318019813205081	0.03301244124707879	0.03334795501702281
eucore	Erdos-Renyi	2	0.033122913459987774	0.032972131858227026	0.03327369506174852
eucore	Erdos-Renyi	3	0.03316899373492557	0.033021492767738414	0.03331649470211273
eucore	Erdos-Renyi	4	0.033095057133402266	0.032878731546237605	0.03331138272056691
eucore	Erdos-Renyi	5	0.03305530949525468	0.032817529479940336	0.03329308951056904
eucore	Erdos-Renyi	6	0.03309270947531147	0.0328511128136476	0.03333430613697535
eucore	Erdos-Renyi	7	0.03292311714048652	0.0326284694287923	0.033217764852180726
eucore	Erdos-Renyi	8	0.0330831300805588	0.032768415657775	0.03339784450334259
eucore	Erdos-Renyi	9	0.03292668262959422	0.03261717013024651	0.03323619512894195
eucore	Erdos-Renyi	10	0.033061133037432924	0.03276914858994054	0.03335311748492534
eucore	Erdos-Renyi	11	0.03296437998898646	0.032670047225368294	0.03325871275260462
eucore	Erdos-Renyi	12	0.03307602889486652	0.03276828000685888	0.033383777782874165
eucore	Erdos-Renyi	13	0.03303349366004535	0.032727095930838904	0.033339891389251766
eucore	Erdos-Renyi	14	0.03290513125430976	0.03261278164976209	0.03319748085885741
eucore	Erdos-Renyi	15	0.033010088294800094	0.0326920557989477	0.03332812079065249
eucore	Erdos-Renyi	16	0.03307049160283917	0.03275122446786706	0.03338975873781125
eucore	Erdos-Renyi	17	0.033180958509579944	0.03284381427949899	0.033518102739660924
eucore	Erdos-Renyi	18	0.03311657474558176	0.03276261457739157	0.03347053491377195
eucore	Erdos-Renyi	19	0.03324200798248472	0.03282667381498308	0.03365734214998638
eucore	Erdos-Renyi	20	0.03322039167059875	0.03286441161367209	0.033576371727525416
eucore	GCN_AE	0	0.4070504475195381	0.40705044751953856	0.40705044751953856
eucore	GCN_AE	1	0.6456245690221746	0.6428171855367779	0.6484319525075712
eucore	GCN_AE	2	0.8240838093212978	0.797867393045436	0.8503002255971598
eucore	GCN_AE	3	0.83769982377414	0.808540736405571	0.8668589111427083
eucore	GCN_AE	4	0.8601232483117482	0.8313273649382393	0.8889191316852565
