dataset	model	gen	pagerank_js	ci_lower	ci_upper
tree	BUGGE	8	0.4973724293674435	0.4770513989793087	0.5176934597555782
tree	BUGGE	9	0.5138480189939945	0.4926834256397162	0.5350126123482732
tree	BUGGE	10	0.5026602817265612	0.4878924626400044	0.5174281008131177
tree	BUGGE	11	0.5223747771919917	0.5014263517196438	0.5433232026643395
tree	BUGGE	12	0.5332522073629462	0.5108015614714493	0.5557028532544431
tree	BUGGE	13	0.5232836024605377	0.501708927197208	0.5448582777238676
tree	BUGGE	14	0.5274262379294744	0.5047060666061113	0.5501464092528378
tree	BUGGE	15	0.5254825485661843	0.5022213757582586	0.5487437213741099
tree	BUGGE	16	0.5145423075822662	0.4968801721427806	0.5322044430217513
tree	BUGGE	17	0.5338757128330262	0.5118811557934475	0.5558702698726048
tree	BUGGE	18	0.511197131211942	0.49038725785842674	0.5320070045654575
tree	BUGGE	19	0.5086859534510696	0.4896385123137226	0.5277333945884164
tree	BUGGE	20	0.5249055805609955	0.5026464312230691	0.5471647298989216
tree	CNRG	1	0.3140004969256942	0.30236474918987605	0.3256362446615125
tree	CNRG	2	0.33682070997706653	0.3217296609393943	0.35191175901473876
tree	CNRG	3	0.36902977015842525	0.34914014650715824	0.38891939380969226
tree	CNRG	4	0.3946744549239059	0.37138047135821217	0.4179684384895994
tree	CNRG	5	0.39874836465076674	0.3725699697587278	0.4249267595428057
tree	CNRG	6	0.4016822727579597	0.37417354509379075	0.42919100042212865
tree	CNRG	7	0.4158187678014075	0.3849794954063374	0.44665804019647753
tree	CNRG	8	0.4375901415011301	0.40493539806433393	0.470244884937926
tree	CNRG	9	0.4593206290783381	0.4242172290352316	0.49442402912144456
tree	CNRG	10	0.45612876777176686	0.4192202301097914	0.4930373054337423
tree	CNRG	11	0.46621261522110713	0.42825097645101684	0.5041742539911974
tree	CNRG	12	0.4686230042629167	0.4265266582644512	0.510719350261382
tree	CNRG	13	0.47960512240902603	0.43424384561928037	0.5249663991987716
tree	CNRG	14	0.4751840395509685	0.4293773091584762	0.5209907699434606
tree	CNRG	15	0.4694015129519002	0.42377325371710095	0.5150297721866994
tree	CNRG	16	0.47719550372547864	0.4305931556938235	0.5237978517571337
tree	CNRG	17	0.48800004603449204	0.44026932762431187	0.5357307644446724
tree	CNRG	18	0.4995498413074404	0.4508977662783744	0.5482019163365066
tree	CNRG	19	0.5079611053994293	0.4592707784291532	0.5566514323697054
tree	CNRG	20	0.5130085772777828	0.46277807039113134	0.5632390841644344
tree	Chung-Lu	1	0.7929853989538794	0.787465812205772	0.7985049857019866
tree	Chung-Lu	2	0.796660409038587	0.7908684289789197	0.8024523890982539
tree	Chung-Lu	3	0.8013019954249775	0.7951950199910788	0.8074089708588762
tree	Chung-Lu	4	0.79958114346716	0.7937427159826268	0.8054195709516933
tree	Chung-Lu	5	0.7947244912367205	0.7885143712184066	0.8009346112550342
tree	Chung-Lu	6	0.8001152846271556	0.7938687934002345	0.8063617758540763
tree	Chung-Lu	7	0.7955030166810808	0.7895390433052933	0.8014669900568685
tree	Chung-Lu	8	0.795861249376581	0.7907051227579694	0.8010173759951918
tree	Chung-Lu	9	0.7972504612463338	0.791160643248947	0.8033402792437218
tree	Chung-Lu	10	0.797531204748519	0.7914312939190348	0.8036311155780035
tree	Chung-Lu	11	0.7928427500980948	0.7870691752023355	0.7986163249938545
tree	Chung-Lu	12	0.7981677712397561	0.7924394548707615	0.803896087608751
tree	Chung-Lu	13	0.7946811249494726	0.7889019689894999	0.8004602809094453
tree	Chung-Lu	14	0.7988411558679962	0.7929077712220631	0.8047745405139284
tree	Chung-Lu	15	0.7896244655730381	0.7839257084619379	0.7953232226841379
tree	Chung-Lu	16	0.7983517182900438	0.7916600798700495	0.8050433567100381
tree	Chung-Lu	17	0.7867262943143559	0.7809870787519133	0.7924655098767983
tree	Chung-Lu	18	0.789845108195713	0.7843639035210249	0.7953263128704008
tree	Chung-Lu	19	0.7938296603534691	0.7871704598518858	0.8004888608550518
tree	Chung-Lu	20	0.7924821967536017	0.7859762376342311	0.7989881558729722
tree	Erdos-Renyi	1	0.8081522628564584	0.8019820843532894	0.8143224413596273
tree	Erdos-Renyi	2	0.8074584626945627	0.8010236315355919	0.8138932938535337
tree	Erdos-Renyi	3	0.8086816740313452	0.802598422393629	0.8147649256690618
tree	Erdos-Renyi	4	0.8090727047133669	0.8028929937130819	0.8152524157136517
tree	Erdos-Renyi	5	0.8112857071251064	0.8050693783933165	0.8175020358568963
tree	Erdos-Renyi	6	0.8077611838189456	0.8010873592592487	0.8144350083786429
tree	Erdos-Renyi	7	0.8075718381732119	0.8019349756753886	0.8132087006710351
tree	Erdos-Renyi	8	0.8097943488268736	0.8032433728975542	0.8163453247561921
tree	Erdos-Renyi	9	0.8111055836929287	0.8056834535104468	0.8165277138754107
tree	Erdos-Renyi	10	0.8115560640995428	0.8054819802946779	0.8176301479044082
tree	Erdos-Renyi	11	0.8085876358440213	0.8022269936410507	0.8149482780469928
tree	Erdos-Renyi	12	0.8142289083734404	0.8074329500099338	0.8210248667369469
tree	Erdos-Renyi	13	0.8118901736047784	0.8060413729394279	0.8177389742701288
tree	Erdos-Renyi	14	0.8114524493113021	0.8046336613189438	0.8182712373036598
tree	Erdos-Renyi	15	0.8122389614134586	0.8063108567919637	0.8181670660349536
tree	Erdos-Renyi	16	0.8127517573307763	0.8067793744837906	0.8187241401777621
tree	Erdos-Renyi	17	0.811904395599629	0.8050967261778809	0.8187120650213774
tree	Erdos-Renyi	18	0.8134068484966697	0.8071408547245574	0.8196728422687819
tree	Erdos-Renyi	19	0.8189527332912229	0.8118006959984669	0.8261047705839786
tree	Erdos-Renyi	20	0.8146321404317359	0.8091132592871012	0.8201510215763704
tree	GCN_AE	1	0.9902835032236169	0.9897234432342163	0.9908435632130184
tree	GCN_AE	2	0.964008987624642	0.959232279351348	0.9687856958979365
tree	GCN_AE	3	0.9909933319933067	0.9883405065405413	0.9936461574460733
tree	GCN_AE	4	0.9973860549048617	0.9955774886185503	0.9991946211911739
tree	GCN_AE	5	0.9975655182083356	0.99576435508444	0.9993666813322328
tree	GCN_AE	6	0.9976010076137602	0.9957991459790803	0.999402869248442
tree	GCN_AE	7	0.9975571076279914	0.9957571059647659	0.9993571092912186
tree	GCN_AE	8	0.997354912092477	0.995508272559567	0.9992015516253885
tree	GCN_AE	9	0.9974398955102239	0.995623754868797	0.999256036151652
tree	GCN_AE	10	0.9975869774756206	0.9957861798255422	0.9993877751257007
tree	GCN_AE	11	0.9975869772065868	0.9957861795726932	0.999387774840482
tree	GCN_AE	12	0.9975869717134868	0.9957861744100184	0.9993877690169563
tree	GCN_AE	13	0.9975869703480359	0.9957861731266928	0.9993877675693801
tree	GCN_AE	14	0.9975869703480359	0.9957861731266928	0.9993877675693801
tree	GCN_AE	15	0.9975803749877806	0.9957801170242131	0.9993806329513493
tree	GCN_AE	16	0.9975928715809725	0.995791509327742	0.9993942338342044
tree	GCN_AE	17	0.9975872857534691	0.9957864603036061	0.9993881112033335
tree	GCN_AE	18	0.9975962559775123	0.9957945345346959	0.9993979774203305
tree	GCN_AE	19	0.9975871230887019	0.9957863122250015	0.9993879339524037
tree	GCN_AE	20	0.997593237944581	0.9957920802729352	0.9993943956162281
tree	GraphRNN	1	0.7691439881092851	0.7631480317787915	0.7751399444397791
tree	GraphRNN	2	0.9999972442844683	0.9999971692596477	0.9999973193092897
tree	GraphRNN	3	0.9999761775165809	0.9999752991632923	0.9999770558698687
