dataset	model	gen	avg_clustering	ci_lower	ci_upper
flights	GCN_AE	3	0.9401479181048318	0.9118815830087708	0.9684142532008928
flights	GCN_AE	4	0.9450138168045441	0.9178951664600954	0.9721324671489935
flights	GCN_AE	5	0.9488783772212779	0.922698824736942	0.9750579297056133
flights	GCN_AE	6	0.9507301826323813	0.9255072415565687	0.9759531237081939
flights	GCN_AE	7	0.9518397567177659	0.9271864117709501	0.9764931016645817
flights	GCN_AE	8	0.9523543330299391	0.927957067906525	0.976751598153353
flights	GCN_AE	9	0.9525866584250074	0.9283068308947315	0.9768664859552834
flights	GCN_AE	10	0.952616688460084	0.9283531769228358	0.9768801999973321
flights	GCN_AE	11	0.9526198886330198	0.9283580203144222	0.976881756951617
flights	GCN_AE	12	0.9526202391133785	0.9283585628257597	0.976881915400997
flights	GCN_AE	13	0.9526215000421712	0.928360514470939	0.9768824856134031
flights	GCN_AE	14	0.9526220695896478	0.9283613959269834	0.976882743252312
flights	GCN_AE	15	0.9526227751759816	0.9283624878532614	0.9768830624987016
flights	GCN_AE	16	0.9526228128017127	0.9283625460786014	0.9768830795248236
flights	GCN_AE	17	0.952623335207222	0.9283633544719355	0.976883315942508
flights	GCN_AE	18	0.9526241439621745	0.9283646058920748	0.9768836820322738
flights	GCN_AE	19	0.9526246713653961	0.9283654219106883	0.9768839208201037
flights	GCN_AE	20	0.9526248761822171	0.9283657387996191	0.9768840135648149
flights	GraphRNN	0	0.455516918234846	nan	nan
flights	GraphRNN	1	0.045355581198226975	0.04429048980984744	0.04642067258660651
flights	GraphRNN	2	0.027914202832514542	0.026853718214590996	0.02897468745043809
flights	GraphRNN	3	0.012876630973460706	0.012468165793625103	0.013285096153296299
flights	GraphRNN	4	0.010629880289596003	0.010584424435252766	0.010675336143939243
flights	GraphRNN	5	0.01011460360621537	0.010063781595515688	0.01016542561691505
flights	GraphRNN	6	0.009621334669262844	0.009570252122517553	0.009672417216008134
flights	GraphRNN	7	0.00913698680854324	0.009090865087480735	0.009183108529605747
