dataset	model	gen	degree_js	ci_lower	ci_upper
chess	Erdos-Renyi	8	0.4167356680262607	0.404626451381993	0.4288448846705281
chess	Erdos-Renyi	9	0.40368091981457277	0.3903378380783214	0.41702400155082414
chess	Erdos-Renyi	10	0.41125084106613735	0.3978340190227005	0.4246676631095742
chess	Erdos-Renyi	11	0.4109297294446129	0.3991069588757554	0.4227525000134702
chess	Erdos-Renyi	12	0.396678127855088	0.38149528207326516	0.4118609736369108
chess	Erdos-Renyi	13	0.4033686194085959	0.39085171727072165	0.4158855215464703
chess	Erdos-Renyi	14	0.40064837527637587	0.38434563940558775	0.4169511111471642
chess	Erdos-Renyi	15	0.4052306453642964	0.3924022128123464	0.41805907791624636
chess	Erdos-Renyi	16	0.40316600015353027	0.3881837688245668	0.4181482314824935
chess	Erdos-Renyi	17	0.4098035901714997	0.3982268950895554	0.4213802852534439
chess	Erdos-Renyi	18	0.39914719960328704	0.38803177975287645	0.41026261945369763
chess	Erdos-Renyi	19	0.4087227098785716	0.3905194719583987	0.42692594779874443
chess	Erdos-Renyi	20	0.4145703038279836	0.40218077379855693	0.42695983385741026
chess	GCN_AE	1	0.9882085911472229	0.987919898018056	0.9884972842763898
chess	GCN_AE	2	0.9849966840971589	0.981152159293696	0.9888412089006218
chess	GCN_AE	3	0.9747864219584411	0.9622892920007484	0.9872835519161338
chess	GCN_AE	4	0.9771047847052754	0.970376568760598	0.9838330006499533
chess	GCN_AE	5	0.9793919958021663	0.9785564493839551	0.9802275422203774
chess	GCN_AE	6	0.9792863428863976	0.9785920490566062	0.979980636716189
chess	GCN_AE	7	0.9792863428863976	0.9785920490566062	0.979980636716189
chess	GCN_AE	8	0.9794864308616245	0.9785833982113707	0.9803894635118782
chess	GCN_AE	9	0.9794864308616245	0.9785833982113707	0.9803894635118782
chess	GCN_AE	10	0.9792553302102048	0.978579761461588	0.9799308989588217
chess	GCN_AE	11	0.9792553302102048	0.978579761461588	0.9799308989588217
chess	GCN_AE	12	0.9792553302102048	0.978579761461588	0.9799308989588217
chess	GCN_AE	13	0.9792553302102048	0.978579761461588	0.9799308989588217
chess	GCN_AE	14	0.9792553302102048	0.978579761461588	0.9799308989588217
chess	GCN_AE	15	0.963433956710585	0.9277872339564048	0.9990806794647651
chess	GCN_AE	16	0.963433956710585	0.9277872339564048	0.9990806794647651
chess	GCN_AE	17	0.963433956710585	0.9277872339564048	0.9990806794647651
chess	GCN_AE	18	0.963433956710585	0.9277872339564048	0.9990806794647651
chess	GCN_AE	19	0.963433956710585	0.9277872339564048	0.9990806794647651
chess	GCN_AE	20	0.9793033252152649	0.9785951942375237	0.980011456193006
chess	HRG	1	0.0882553814252292	0.07937124211044275	0.09713952074001564
chess	HRG	2	0.13117152233194876	0.11831734424574207	0.14402570041815543
chess	HRG	3	0.1593890756666628	0.14988132822882635	0.1688968231044992
chess	HRG	4	0.17549641219264012	0.16593920123862857	0.18505362314665172
chess	HRG	5	0.18821318354846883	0.1714397031098066	0.20498666398713106
chess	HRG	6	0.19198969865433319	0.1808580747212968	0.20312132258736956
chess	HRG	7	0.18837793874086425	0.17747594679883694	0.19927993068289152
chess	HRG	8	0.17617287172199916	0.16681171664505073	0.18553402679894765
chess	HRG	9	0.1715248180461576	0.1630256555898186	0.1800239805024966
chess	HRG	10	0.15176980649709693	0.14498444182654885	0.158555171167645
chess	HRG	11	0.15068549337840298	0.14352185543394969	0.15784913132285633
chess	HRG	12	0.1478662742970911	0.13995855889932562	0.15577398969485656
chess	HRG	13	0.1467348742982091	0.13877905577139157	0.15469069282502676
chess	HRG	14	0.14744577332957753	0.13944004064661983	0.15545150601253524
chess	HRG	15	0.14499570824120223	0.13735489775303425	0.15263651872937026
chess	HRG	16	0.14198586885109932	0.13315141161478872	0.15082032608740992
chess	HRG	17	0.14215479699322103	0.13496536640012216	0.1493442275863199
chess	HRG	18	0.13795914237227988	0.131158862011369	0.14475942273319087
chess	HRG	19	0.14246575068432202	0.1348874467431663	0.15004405462547768
chess	HRG	20	0.14235970821787478	0.1342348015879576	0.15048461484779202
chess	Linear_AE	1	0.9882038674107027	0.9872580652496914	0.9891496695717139
chess	Linear_AE	2	0.9863846752283675	0.9857532081090112	0.9870161423477237
chess	Linear_AE	3	0.9808013406815631	0.979384087088515	0.9822185942746112
chess	Linear_AE	4	0.9797166350705526	0.9784527825809122	0.9809804875601931
chess	Linear_AE	5	0.9797166350705526	0.9784527825809122	0.9809804875601931
chess	Linear_AE	6	0.9797166350705526	0.9784527825809122	0.9809804875601931
chess	Linear_AE	7	0.9797166350705526	0.9784527825809122	0.9809804875601931
chess	Linear_AE	8	0.9803552480579489	0.979833671616168	0.9808768244997295
chess	Linear_AE	9	0.9803552480579489	0.979833671616168	0.9808768244997295
chess	Linear_AE	10	0.9781242816265243	0.9770180361408234	0.9792305271122252
chess	Linear_AE	11	0.9781242816265243	0.9770180361408234	0.9792305271122252
chess	Linear_AE	12	0.9781242816265243	0.9770180361408234	0.9792305271122252
