dataset	model	gen	pgd_rgfd	ci_lower	ci_upper
clique-ring-500-4	GraphRNN	10	1.8725411158680936	1.8155957787890045	1.9294864529471805
clique-ring-500-4	GraphRNN	11	1.132262840025743	1.1111225060751901	1.153403173976296
clique-ring-500-4	GraphRNN	12	1.9147571524474514	1.8709749214562426	1.958539383438661
clique-ring-500-4	GraphRNN	13	1.0704191846432765	1.0504200308187044	1.0904183384678499
clique-ring-500-4	GraphRNN	14	1.9191120524310927	1.8818441126276426	1.9563799922345428
clique-ring-500-4	GraphRNN	15	1.4216475462416396	1.3856371412015132	1.457657951281766
clique-ring-500-4	GraphRNN	16	1.9545972393077506	1.9357367535190166	1.9734577250964846
clique-ring-500-4	GraphRNN	17	1.5683653045585209	1.5238329278288094	1.6128976812882323
clique-ring-500-4	GraphRNN	18	1.9044529298646535	1.8612610097842133	1.9476448499450925
clique-ring-500-4	GraphRNN	19	1.5721427985328598	1.53519657710632	1.609089019959399
clique-ring-500-4	GraphRNN	20	1.9402502006853748	1.9125276376296252	1.9679727637411253
clique-ring-500-4	Kronecker	1	0.022202078458731216	0.021852769470684687	0.022551387446777753
clique-ring-500-4	Kronecker	2	0.058285828593160165	0.05763613042120265	0.058935526765117666
clique-ring-500-4	Kronecker	3	0.12456865626160657	0.12327939832341964	0.1258579141997935
clique-ring-500-4	Kronecker	4	0.2696301715681361	0.26672512851476404	0.2725352146215081
clique-ring-500-4	Kronecker	5	0.5321447785156349	0.5270607457895611	0.5372288112417087
clique-ring-500-4	Kronecker	6	0.9372233766346733	0.9301741568847489	0.944272596384598
clique-ring-500-4	Kronecker	7	1.4131493343417376	1.4028451633807624	1.4234535053027129
clique-ring-500-4	Kronecker	8	1.8195029922711143	1.8108569128669845	1.8281490716752429
clique-ring-500-4	Kronecker	9	1.9715004302816916	1.9702392403944406	1.9727616201689422
clique-ring-500-4	Kronecker	10	1.9952167176302253	1.9949929847603578	1.9954404505000924
clique-ring-500-4	Kronecker	11	1.997050141065535	1.9969955024696926	1.9971047796613774
clique-ring-500-4	Kronecker	12	1.9974060380258605	1.9973716938825354	1.9974403821691855
clique-ring-500-4	Kronecker	13	1.9971965008864427	1.9970917136401738	1.9973012881327117
clique-ring-500-4	Kronecker	14	1.9970931101695815	1.9970429636408704	1.9971432566982925
clique-ring-500-4	Kronecker	15	1.997431600943362	1.9973953944695448	1.9974678074171799
clique-ring-500-4	Kronecker	16	1.9972302830457662	1.9971341016758664	1.9973264644156652
clique-ring-500-4	Kronecker	17	1.9971204516711427	1.9970676946626178	1.9971732086796663
clique-ring-500-4	Kronecker	18	1.9974428302376825	1.9974037642786626	1.997481896196703
clique-ring-500-4	Kronecker	19	1.9972462980096384	1.997152493996439	1.9973401020228378
clique-ring-500-4	Kronecker	20	1.9971303985799205	1.9970761556852383	1.9971846414746026
clique-ring-500-4	Linear_AE	1	1.9593462978900138	1.95927467657837	1.9594179192016572
clique-ring-500-4	Linear_AE	2	1.963144734657408	1.9630261296487688	1.9632633396660473
clique-ring-500-4	Linear_AE	3	1.9694454992017458	1.9691617825915897	1.969729215811902
clique-ring-500-4	Linear_AE	4	1.9719827365229354	1.9716304635807962	1.9723350094650756
clique-ring-500-4	Linear_AE	5	1.9731493486382254	1.972772021331986	1.9735266759444663
clique-ring-500-4	Linear_AE	6	1.9736987789691103	1.9733176515005701	1.9740799064376504
clique-ring-500-4	Linear_AE	7	1.9740332726554775	1.9736424754520678	1.974424069858887
clique-ring-500-4	Linear_AE	8	1.9744860748489301	1.9740567019735409	1.9749154477243207
clique-ring-500-4	Linear_AE	9	1.97491017209476	1.9744664097067974	1.9753539344827211
clique-ring-500-4	Linear_AE	10	1.975285843265844	1.9748494178338059	1.9757222686978826
clique-ring-500-4	Linear_AE	11	1.9755703678454366	1.9751523734287657	1.9759883622621084
clique-ring-500-4	Linear_AE	12	1.9758140364842915	1.9754191027002053	1.9762089702683774
clique-ring-500-4	Linear_AE	13	1.975966001408982	1.97558228017443	1.9763497226435351
clique-ring-500-4	Linear_AE	14	1.9760947353756118	1.9757246563087643	1.9764648144424597
clique-ring-500-4	Linear_AE	15	1.9761512291116405	1.9757832202673362	1.9765192379559449
