dataset	model	gen	lambda_dist	ci_lower	ci_upper
eucore	HRG	16	1055.1823916024052	1032.444666462067	1077.9201167427439
eucore	HRG	17	1054.7619881969188	1035.3924842019862	1074.1314921918513
eucore	HRG	18	1038.4766255923344	1015.0471741316538	1061.906077053015
eucore	HRG	19	1034.5238761137498	1009.4197393518374	1059.6280128756614
eucore	HRG	20	1019.8934643331373	996.8514131109202	1042.9355155553542
eucore	Kronecker	1	637.5801545871827	625.9643359745635	649.195973199802
eucore	Kronecker	2	2084.8160823201592	2055.343918840378	2114.2882457999403
eucore	Kronecker	3	4877.562459068331	4843.9655477487995	4911.159370387864
eucore	Kronecker	4	9864.412241134642	9767.59040126097	9961.234081008317
eucore	Kronecker	5	18300.015728189992	18117.17886240828	18482.852593971696
eucore	Kronecker	6	25303.21504043375	25267.293960083574	25339.13612078393
eucore	Kronecker	7	26157.62667087965	26144.21966078539	26171.03368097391
eucore	Kronecker	8	26250.202123223873	26243.912606425994	26256.49164002175
eucore	Kronecker	9	26282.124827196774	26277.571674825	26286.677979568547
eucore	Kronecker	10	26299.826765163863	26294.802320607516	26304.851209720226
eucore	Kronecker	11	26311.7102892481	26307.09903598496	26316.321542511236
eucore	Kronecker	12	26316.595507053455	26313.13232946741	26320.058684639505
eucore	Kronecker	13	26316.27455830013	26312.488384792105	26320.060731808142
eucore	Kronecker	14	26315.47633053233	26311.61084405802	26319.34181700663
eucore	Kronecker	15	26317.370051002028	26313.025135028467	26321.71496697556
eucore	Kronecker	16	26316.04102428792	26311.727258089893	26320.35479048596
eucore	Kronecker	17	26312.105168687616	26308.22735194793	26315.9829854273
eucore	Kronecker	18	26313.503207540027	26310.20115273003	26316.805262350037
eucore	Kronecker	19	26312.466339719078	26309.168861633683	26315.763817804444
eucore	Kronecker	20	26314.79334912456	26310.78985074755	26318.79684750159
eucore	Linear_AE	1	12587.348633085525	12550.404891784381	12624.292374386672
eucore	Linear_AE	2	14438.133560132741	14402.03809471336	14474.229025552122
eucore	Linear_AE	3	14743.692817392168	14714.991446343409	14772.39418844093
eucore	Linear_AE	4	14788.99317407551	14759.052170499286	14818.93417765174
eucore	Linear_AE	5	14833.993081418304	14801.361909026888	14866.62425380971
eucore	Linear_AE	6	14865.586921415026	14828.149091969892	14903.024750860171
eucore	Linear_AE	7	14883.34197449988	14827.579723472621	14939.10422552713
eucore	Linear_AE	8	14895.49649948921	14833.319946718662	14957.673052259748
eucore	Linear_AE	9	14892.67348323901	14829.415719684093	14955.931246793927
eucore	Linear_AE	10	14889.06512717509	14825.256084172828	14952.87417017736
eucore	Linear_AE	11	14885.188644520564	14820.747924650484	14949.629364390643
eucore	Linear_AE	12	14885.65907843834	14820.95936880838	14950.358788068304
eucore	Linear_AE	13	14886.41536417071	14821.452630737476	14951.378097603952
eucore	Linear_AE	14	14886.247613078698	14821.39470000762	14951.100526149787
eucore	Linear_AE	15	14884.20307982785	14820.055695232391	14948.350464423313
eucore	Linear_AE	16	14883.031531978126	14819.130010490047	14946.933053466204
eucore	Linear_AE	17	14897.525572163053	14824.444033523092	14970.607110803014
eucore	Linear_AE	18	14894.498853643681	14824.14380617475	14964.853901112616
eucore	Linear_AE	19	14894.562489753915	14824.209730588045	14964.915248919788
eucore	Linear_AE	20	14894.524028588645	14824.173945093627	14964.874112083658
eucore	NetGAN	1	319.5875062710366	311.072715901365	328.1022966407081
eucore	SBM	1	356.8865875813485	348.9397532113566	364.83342195134065
eucore	SBM	2	370.4687162539581	362.35436276839744	378.5830697395188
eucore	SBM	3	380.80477933515243	372.171009679834	389.43854899047096
eucore	SBM	4	385.8863918788171	376.24602145685617	395.5267623007777
eucore	SBM	5	394.05324743348626	383.99412986677385	404.11236500019834
eucore	SBM	6	400.4742131571227	390.19883332068963	410.74959299355606
eucore	SBM	7	405.38824444070246	394.2645387768482	416.51195010455683
eucore	SBM	8	407.36135657394954	395.61488630163336	419.1078268462657
eucore	SBM	9	413.9390747471367	401.711839378596	426.1663101156772
eucore	SBM	10	417.09108610061145	404.47854234167386	429.70362985954915
eucore	SBM	11	422.2609480681271	409.39890239840946	435.12299373784475
eucore	SBM	12	424.20343629167576	410.52381854751997	437.88305403583155
eucore	SBM	13	430.0130952064566	415.88548896721386	444.1407014456994
eucore	SBM	14	430.40323814836637	415.7267651120783	445.07971118465457
eucore	SBM	15	432.1056461295851	417.09443834906926	447.1168539101013
eucore	SBM	16	436.98876682645937	421.86428620138133	452.1132474515373
eucore	SBM	17	441.331415027499	426.00522590882696	456.6576041461711
eucore	SBM	18	442.6075697176066	427.283126666241	457.93201276897224
eucore	SBM	19	444.6659740453769	428.9499087595269	460.38203933122713
eucore	SBM	20	446.1479107075045	430.31547766154586	461.9803437534631
