,name,orig_n,orig_m,model,sel,trial_id,gen_id,gen_n,gen_m,deltacon0,lambda_dist,degree_cvm,pagerank_cvm,pgd_pearson,pgd_spearman,node_diff,edge_diff,num_components,giant_frac,num_clusters,modularity
68,flights,2905,15645,CNRG,fast,4,9,2879,9462,11786.294,33.413,0.165,0.119,2.9334965202409968e-05,0.051470588235294046,26.0,6183.0,1,1.0,33,0.5597007896083879
69,flights,2905,15645,CNRG,fast,4,10,2862,9304,11584.197,35.602,0.158,0.13,2.9685107724830573e-05,0.05882352941176472,43.0,6341.0,1,1.0,39,0.5565841396076655
70,flights,2905,15645,CNRG,fast,4,11,2861,9196,11503.942,36.305,0.162,0.134,3.070071732647062e-05,0.06617647058823528,44.0,6449.0,1,1.0,34,0.5494046537339365
71,flights,2905,15645,CNRG,fast,4,12,2834,9052,11556.548,37.105,0.168,0.143,3.0284007166203608e-05,0.0808823529411763,71.0,6593.0,1,1.0,30,0.540926464982897
72,flights,2905,15645,CNRG,fast,4,13,2840,8959,11753.168,37.454,0.191,0.147,3.1726045697233474e-05,0.0808823529411763,65.0,6686.0,1,1.0,23,0.5304545402048026
73,flights,2905,15645,CNRG,fast,4,14,2836,8865,11859.184,37.404,0.162,0.153,3.253470003861114e-05,0.0808823529411763,69.0,6780.0,1,1.0,24,0.5218440612445437
74,flights,2905,15645,CNRG,fast,4,15,2842,8806,11753.757,38.327,0.162,0.159,3.359687092496788e-05,0.0808823529411763,63.0,6839.0,1,1.0,31,0.5179482698420312
75,flights,2905,15645,CNRG,fast,4,16,2849,8740,11844.391,38.848,0.174,0.164,3.483409612237143e-05,0.0808823529411763,56.0,6905.0,1,1.0,25,0.5119917826977153
76,flights,2905,15645,CNRG,fast,4,17,2868,8665,11760.001,39.297,0.185,0.171,3.711624696900451e-05,0.0808823529411763,37.0,6980.0,1,1.0,29,0.5045464822066742
77,flights,2905,15645,CNRG,fast,4,18,2885,8627,11509.723,39.542,0.188,0.182,3.875534355102239e-05,0.09068627450980382,20.0,7018.0,1,1.0,29,0.4956096078785431
