rule_id, collapses, edges_approx, total_cost, rule_details
12, 3, 3, 26318, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  886)  ('type_1'  'type_1')  ('type_1'  1478)  (1478  886)  (1478  2921)]
86, 2, 0, 26328, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1551)  ('type_1'  'type_1')  ('type_1'  2270)  (2270  1551)]
99, 1, 1, 26314, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1866)  ('type_1'  'type_1')  ('type_1'  1275)  (2580  1275)  (1617  1866)  (1617  2580)]
12, 1, 1, 26314, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  886)  ('type_1'  'type_1')  ('type_1'  1478)  (1478  886)  (1478  2921)]
20, 3, 3, 26290, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  2084)  ('type_1'  'type_1')  ('type_1'  1988)  (1249  1988)  (1249  2084)]
86, 2, 0, 26300, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1551)  ('type_1'  'type_1')  ('type_1'  2270)  (2270  1551)]
100, 6, 6, 26240, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  833)  ('type_1'  'type_1')  ('type_1'  2513)  (1949  833)  (2513  833)]
12, 9, 8, 26141, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  886)  ('type_1'  'type_1')  ('type_1'  1478)  (1478  886)  (1478  2921)]
98, 2, 2, 26129, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1617)  ('type_1'  'type_1')  ('type_1'  1275)  (2580  1275)  (1617  2580)]
86, 2, 0, 26139, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1551)  ('type_1'  'type_1')  ('type_1'  2270)  (2270  1551)]
53523, 2, 0, 26126, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1490)  ('type_1'  'type_1')  ('type_1'  1705)  (1490  2778)  (2778  1490)  (1705  2778)]
12, 3, 2, 26099, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  886)  ('type_1'  'type_1')  ('type_1'  1478)  (1478  886)  (1478  2921)]
17, 2, 0, 26109, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  2497)  ('type_1'  'type_1')  ('type_1'  2497)  (2446  2497)]
100, 2, 2, 26097, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  833)  ('type_1'  'type_1')  ('type_1'  2513)  (1949  833)  (2513  833)]
99, 2, 2, 26057, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1866)  ('type_1'  'type_1')  ('type_1'  1275)  (2580  1275)  (1617  1866)  (1617  2580)]
92, 1, 0, 26054, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  2964)  ('type_1'  'type_1')  ('type_1'  970)  (970  1096)  (1096  2964)]
57, 2, 2, 26042, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1249)  ('type_1'  'type_1')  ('type_1'  2479)  (1249  1988)  (2479  1988)]
2, 1, 1, 26042, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  2348)  ('type_1'  'type_1')  ('type_1'  2348)  (1376  994)  (2348  1376)]
